source,target,value
sql-server,.net,32.322524219339904
asp.net,.net,48.40702996199019
c#,.net,62.167895042923824
jquery,ajax,50.56672861589973
mysql,ajax,24.80008942291756
css,ajax,26.613713724688935
javascript,ajax,24.39914442262329
json,ajax,32.94744601093195
ios,android,39.77803622570551
android-studio,android,33.661083176336234
java,android,50.984730766476574
android,android-studio,33.661083176336234
typescript,angular2,38.87998222920348
angularjs,angular2,26.032697164489267
reactjs,angularjs,31.62020230471286
mongodb,angularjs,31.510711170360768
css,angularjs,22.210413043130057
javascript,angularjs,39.37662666227728
node.js,angularjs,47.56352702530362
jquery,angularjs,30.34794743352026
angular2,angularjs,26.032697164489267
html5,angularjs,23.082664020750425
mysql,apache,29.097834547698525
linux,apache,28.168213013158717
scala,apache-spark,50.79184563415286
.net,asp.net,48.40702996199019
sql,asp.net,21.6722646057341
sql-server,asp.net,59.67328948689907
c#,asp.net,80.4485421720991
jquery,asp.net,28.723178220098205
linux,bash,38.88811575032741
shell,bash,24.71706557378606
git,bash,27.096957129984922
c++,c,80.89104614147385
python,c,22.320432253935472
java,c,26.04945930410044
sql,c#,25.613903617043626
asp.net,c#,80.4485421720991
.net,c#,62.167895042923824
sql-server,c#,45.91465123552504
visual-studio,c#,27.71554342863794
c,c++,80.89104614147385
java,c++,23.201095658265963
python,c++,24.301045666206715
ajax,css,26.613713724688935
mysql,css,27.010622489444646
jquery,css,66.67420569975171
html,css,126.57112712972764
javascript,css,75.53660009612221
html5,css,87.13826986156899
angularjs,css,22.210413043130057
python,django,49.905942953683244
flask,django,42.33664313992495
postgresql,django,22.48925264318247
go,docker,28.375405907346195
maven,eclipse,25.314659453818305
python,flask,25.251371861419308
django,flask,42.33664313992495
github,git,56.20246391729147
bash,git,27.096957129984922
linux,git,27.70879277472438
git,github,56.20246391729147
docker,go,28.375405907346195
scala,haskell,22.757440009799737
mysql,html,21.35568889023083
javascript,html,59.75548884052987
css,html,126.57112712972764
jquery,html,44.23362023021944
javascript,html5,47.00636375705097
angularjs,html5,23.082664020750425
jquery,html5,47.49277338891457
css,html5,87.13826986156899
android,ios,39.77803622570551
swift,ios,87.21964246099864
osx,ios,30.341581071883272
objective-c,ios,78.75928046651394
iphone,ios,57.15857405623158
swift,iphone,36.02337467321895
ios,iphone,57.15857405623158
objective-c,iphone,47.97788760375011
c++,java,23.201095658265963
java-ee,java,25.116182820462374
android,java,50.984730766476574
c,java,26.04945930410044
java,java-ee,25.116182820462374
jquery,javascript,57.84183152642191
node.js,javascript,42.73172932305638
mysql,javascript,22.91619071652686
angularjs,javascript,39.37662666227728
ajax,javascript,24.39914442262329
reactjs,javascript,33.56735910485145
css,javascript,75.53660009612221
html,javascript,59.75548884052987
html5,javascript,47.00636375705097
json,jquery,20.62957734085586
html,jquery,44.23362023021944
asp.net,jquery,28.723178220098205
css,jquery,66.67420569975171
html5,jquery,47.49277338891457
ajax,jquery,50.56672861589973
mysql,jquery,35.71297781108102
angularjs,jquery,30.34794743352026
javascript,jquery,57.84183152642191
jquery,json,20.62957734085586
xml,json,42.721668458812765
ajax,json,32.94744601093195
bash,linux,38.88811575032741
git,linux,27.70879277472438
unix,linux,25.357412874239948
osx,linux,23.41281493970028
ubuntu,linux,29.894342585346926
shell,linux,21.131792917374074
windows,linux,29.945400773839896
python,linux,21.17036044400364
apache,linux,28.168213013158717
python,machine-learning,30.27077436735024
r,machine-learning,23.21869703965049
r,matlab,20.021932698311588
eclipse,maven,25.314659453818305
node.js,mongodb,58.65780661217398
reactjs,mongodb,22.3209731892725
postgresql,mongodb,22.855557000277642
mysql,mongodb,26.36926476163211
angularjs,mongodb,31.510711170360768
css,mysql,27.010622489444646
jquery,mysql,35.71297781108102
mongodb,mysql,26.36926476163211
postgresql,mysql,25.909942488756776
javascript,mysql,22.91619071652686
html,mysql,21.35568889023083
ajax,mysql,24.80008942291756
apache,mysql,29.097834547698525
javascript,node.js,42.73172932305638
reactjs,node.js,55.192747551978705
angularjs,node.js,47.56352702530362
mongodb,node.js,58.65780661217398
react-native,node.js,22.16325031188543
iphone,objective-c,47.97788760375011
swift,objective-c,79.08853577916759
ios,objective-c,78.75928046651394
osx,objective-c,24.763189829170084
sql,oracle,21.82760476470736
plsql,oracle,45.06151433906438
windows,osx,20.860246776482484
objective-c,osx,24.763189829170084
ios,osx,30.341581071883272
linux,osx,23.41281493970028
regex,perl,21.364077886249937
oracle,plsql,45.06151433906438
sql,plsql,22.717442387504864
mysql,postgresql,25.909942488756776
ruby-on-rails,postgresql,25.69011032907274
mongodb,postgresql,22.855557000277642
django,postgresql,22.48925264318247
ruby,postgresql,21.79517505760149
flask,python,25.251371861419308
c++,python,24.301045666206715
machine-learning,python,30.27077436735024
django,python,49.905942953683244
c,python,22.320432253935472
r,python,28.53574785327096
linux,python,21.17036044400364
python,r,28.53574785327096
matlab,r,20.021932698311588
machine-learning,r,23.21869703965049
reactjs,react-native,61.53102297253567
node.js,react-native,22.16325031188543
node.js,reactjs,55.192747551978705
react-native,reactjs,61.53102297253567
angularjs,reactjs,31.62020230471286
mongodb,reactjs,22.3209731892725
javascript,reactjs,33.56735910485145
perl,regex,21.364077886249937
postgresql,ruby,21.79517505760149
ruby-on-rails,ruby,95.36131071220332
postgresql,ruby-on-rails,25.69011032907274
ruby,ruby-on-rails,95.36131071220332
haskell,scala,22.757440009799737
apache-spark,scala,50.79184563415286
bash,shell,24.71706557378606
linux,shell,21.131792917374074
plsql,sql,22.717442387504864
sql-server,sql,24.354772917848095
c#,sql,25.613903617043626
oracle,sql,21.82760476470736
asp.net,sql,21.6722646057341
.net,sql-server,32.322524219339904
asp.net,sql-server,59.67328948689907
sql,sql-server,24.354772917848095
c#,sql-server,45.91465123552504
iphone,swift,36.02337467321895
objective-c,swift,79.08853577916759
ios,swift,87.21964246099864
angular2,typescript,38.87998222920348
linux,ubuntu,29.894342585346926
linux,unix,25.357412874239948
c#,visual-studio,27.71554342863794
linux,windows,29.945400773839896
osx,windows,20.860246776482484
json,xml,42.721668458812765
